x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 
1 2 3 4 5 6 7 8 9 10 
1 2 3 4 5 6 7 8 9 10 
1 2 3 4 5 6 7 8 9 10 
1 2 3 4 5 6 7 8 9 10 
1 2 3 4 5 6 7 8 9 10 
1 2 3 4 5 6 7 8 9 10 
1 2 3 4 5 6 7 8 9 10 
1 2 3 4 5 6 7 8 9 10 
1 2 3 4 5 6 7 8 9 10 
1 2 3 4 5 6 7 8 9 10 
10 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 rozne
x1 x2 - || 1 <> 
x1 x3 - || 2 <> 
x1 x4 - || 3 <> 
x1 x5 - || 4 <> 
x1 x6 - || 5 <> 
x1 x7 - || 6 <> 
x1 x8 - || 7 <> 
x1 x9 - || 8 <> 
x1 x10 - || 9 <> 
x2 x3 - || 1 <> 
x2 x4 - || 2 <> 
x2 x5 - || 3 <> 
x2 x6 - || 4 <> 
x2 x7 - || 5 <> 
x2 x8 - || 6 <> 
x2 x9 - || 7 <> 
x2 x10 - || 8 <> 
x3 x4 - || 1 <> 
x3 x5 - || 2 <> 
x3 x6 - || 3 <> 
x3 x7 - || 4 <> 
x3 x8 - || 5 <> 
x3 x9 - || 6 <> 
x3 x10 - || 7 <> 
x4 x5 - || 1 <> 
x4 x6 - || 2 <> 
x4 x7 - || 3 <> 
x4 x8 - || 4 <> 
x4 x9 - || 5 <> 
x4 x10 - || 6 <> 
x5 x6 - || 1 <> 
x5 x7 - || 2 <> 
x5 x8 - || 3 <> 
x5 x9 - || 4 <> 
x5 x10 - || 5 <> 
x6 x7 - || 1 <> 
x6 x8 - || 2 <> 
x6 x9 - || 3 <> 
x6 x10 - || 4 <> 
x7 x8 - || 1 <> 
x7 x9 - || 2 <> 
x7 x10 - || 3 <> 
x8 x9 - || 1 <> 
x8 x10 - || 2 <> 
x9 x10 - || 1 <> 
